A1BG	53 0 107 355 57 479 280 165 76 0
A1BG.AS1	0 94 282 1275 95 3984 234 0 427 748
A1CF	0 46 0 24 0 0 182 0 0 0
A2M.AS1	0 172 1002 0 86 1644 524 564 358 1263
A2ML1	0 68 150 30 16 57 0 0 31 0
A2MP1	0 76 191 0 592 21 25 0 9 0
A4GALT	22 321 388 512 130 279 207 64 145 152
A4GNT	0 21 672 25 7 0 212 0 9 0
AA06	0 85 1 52 113 0 216 0 0 0
AAAS	2480 2308 18666 8588 8158 5728 24583 20 7305 17484
AACS	0 327 652 2039 316 2033 1897 2835 1181 0
AACSP1	0 218 43 0 14 284 33 341 253 27
AADAC	50 63 24 212 9 0 0 0 0 0
AADACL2	0 52 0 8 13 0 201 0 11 0
AADACL3	17 689 165 696 76 403 152 366 255 131
AADACL4	13 16 0 0 146 0 47 41 155 0
AADAT	0 509 120 525 32 281 127 229 183 0
AAED1	0 197 541 1632 69 32 823 344 558 2407
AAGAB	76 748 0 368 43 643 1648 4983 610 0
AAK1	18 77 375 1046 34 391 172 86 625 45
AAMDC	22 1323 6656 1 2184 3028 11502 3719 154 6023
AANAT	0 0 44 0 30 0 0 92 0 26
AAR2	107 175 11073 2105 28870 12556 14193 15774 7748 17900
AARD	0 0 0 0 0 65 0 0 1123 0
AARS	77 566 1560 19688 544 12463 1743 2743 6009 3779
AARS2	0 786 1983 1805 508 941 1246 309 739 1702
AARSD1	111 2970 5645 3001 1130 4481 12372 7084 4243 19059
AASDH	4 0 748 1674 233 0 836 146 750 603
AASDHPPT	411 20 1736 15170 651 3138 2788 4558 12075 2798
AASS	47 23 1977 1706 568 887 3188 0 966 0
AATK	0 29 0 0 0 6 615 0 0 0
AATK.AS1	0 15 4 0 0 0 0 0 0 0
ABAT	0 0 1161 1863 241 821 1995 578 1301 528
ABCA1	12 231 307 1282 526 435 515 0 817 95
ABCA10	4 236 1065 0 78 0 331 0 0 212
ABCA11P	6 451 441 1155 148 833 350 649 799 760
ABCA12	0 0 53 0 37 64 0 0 11 0
ABCA13	0 198 13 0 0 58 10 61 45 14
ABCA17P	3 0 172 0 238 39 0 0 13 0
ABCA2	5 18 714 1437 447 882 836 346 388 1664
ABCA3	12 1160 204 1607 151 825 416 708 550 112
ABCA4	0 88 32 0 0 0 0 7 0 0
ABCA5	25 186 1177 951 618 1564 1421 605 873 1893
ABCA6	15 1179 540 2569 366 1838 627 202 1138 1286
ABCA7	193 1035 37 675 1608 0 2095 79 0 520
ABCA8	0 175 0 517 113 383 129 123 655 0
ABCA9	0 0 146 795 58 0 94 167 466 0
ABCB1	0 14 1356 1552 706 1087 2835 0 120 379
ABCB10	6 125 2154 877 553 1242 1006 0 658 557
ABCB11	0 54 0 0 0 0 366 48 0 0
ABCB4	4 335 1028 995 65 596 74 2567 336 170
ABCB5	81 0 90 6760 850 130 0 874 7137 1577
ABCB6	28 0 1232 2684 428 2045 495 105 867 1065
ABCB7	362 173 5753 7260 1599 5365 3279 1142 7280 6706
ABCB8	0 51 978 707 653 174 554 694 0 361
ABCB9	0 24 0 159 0 1148 10 0 0 0
ABCC1	40 844 816 2043 175 1976 1034 1058 384 646
ABCC10	23 148 2032 2545 878 1645 1445 385 1649 1904
ABCC11	0 0 6 0 343 0 44 0 0 0
ABCC12	0 13 0 0 0 0 0 0 0 118
ABCC13	0 74 0 2 17 0 0 371 0 0
ABCC2	0 0 16 130 0 0 80 0 21 213
ABCC3	32 2319 346 2757 181 1335 644 1167 983 215
ABCC4	13 965 285 2603 294 1133 443 511 1435 324
ABCC5	42 262 1633 2764 297 2827 778 264 1161 17
ABCC5.AS1	0 0 0 0 0 73 0 0 0 0
ABCC6	6 60 0 79 0 0 0 0 0 0
ABCC6P1	0 82 3 80 26 0 0 0 0 0
ABCC6P2	1 216 173 181 216 361 95 493 140 102
ABCC8	0 35 37 48 3 26 3 0 30 0
ABCD1	0 1862 0 55 47 1274 217 0 0 147
ABCD2	11 0 1327 1350 357 911 454 88 692 0
ABCD3	39 0 2242 2485 595 1816 1881 507 1448 4583
ABCD4	103 439 942 3247 251 2584 599 2350 2372 1702
ABCE1	110 247 5772 2395 790 2744 1436 2619 2152 3425
ABCF1	204 1107 6795 3130 1838 3902 2411 2521 3496 5608
ABCF2	604 32 16565 8890 2265 8510 14821 21583 5199 13108
ABCF3	0 0 9384 2 0 0 12152 0 109 0
ABCG1	742 1932 932 6000 3396 1792 353 365 2426 14572
ABCG2	0 142 0 0 310 34 0 44 32 0
ABCG4	12 0 0 0 0 5 0 79 0 0
ABCG5	0 75 101 0 73 42 102 0 0 1
ABCG8	0 104 171 4 57 76 27 0 19 0
ABHD1	66 0 92 24 0 213 0 0 4 40
ABHD10	0 0 1605 0 0 0 9005 0 0 40
ABHD11	20 15 1797 4892 1064 3052 2156 3084 2962 4217
ABHD12	46 56 4276 6945 418 6184 2334 323 3346 4023
ABHD12B	96 133 0 0 8 32 32 0 0 4
ABHD13	19 177 1058 1383 183 1771 960 1723 1081 609
ABHD14A.ACY1	12 0 326 292 122 45 94 143 128 71
ABHD15	31 499 1413 2578 400 1746 1162 153 1802 2121
ABHD16A	3908 1985 208739 114220 21393 553 38652 858400 196492 28514
ABHD16B	31 8 357 1102 103 1058 197 145 536 0
ABHD2	90 526 5425 0 52 217 1191 461 419 3795
ABHD3	0 26 0 1456 15 152737 23 0 0 0
ABHD4	281 13 9973 4316 1712 4231 7018 1620 3463 5285
ABHD5	213 318 849 501 563 1608 1191 56 352 985
ABHD6	79 1571 840 4272 406 2581 1604 1543 1638 626
ABHD8	10 159 380 288 261 504 829 381 139 277
ABI2	1 0 309 1491 6 949 806 614 654 1326
ABI3	0 0 0 4076 0 35836 0 0 10139 872
ABI3BP	0 80 787 2209 1209 1064 1014 312 1061 1219
ABL1	0 414 0 0 0 0 3 0 0 0
ABL2	34 603 1092 1162 249 1453 970 1000 1279 346
ABLIM1	26 582 20462 868 733 1223 2012 2766 1244 1211
ABLIM2	0 0 0 45 849 0 61 0 0 0
ABLIM3	90 217 1036 71 1048 67 321 0 0 0
ABO	12 752 250 1016 99 549 214 223 374 0
ABP1	4 1507 341 1451 80 920 325 764 813 47
ABR	29 653 3030 2010 635 2871 5940 4191 1717 467
ABRA	22 183 0 701 123 0 0 169 0 0
ABTB1	71 115 1987 16412 1904 10102 2129 783 8353 8367
ABTB2	20 0 262 847 346 464 401 447 357 0
ACACA	9 173 384 708 59 399 506 399 512 182
